grid_cell,ba,lat,lon,pr,distance_to_grid,population,surface_area_ofs,surface_area_ons
717,Alberta.a,51,-112.5,Alberta,11.9670997,0,0,2423.87
718,Alberta.a,50.5,-112.5,Alberta,25.233793,25028,0,2450.13
719,Alberta.a,50,-112.5,Alberta,21.2473204,1286,0,2228.59
72,British Columbia.a,52,-131.25,British Columbia,254.9321118,0,2133.71,237.08
720,Alberta.a,49.5,-112.5,Alberta,0.5063754,17287,0,2502.1
721,Alberta.a,49,-112.5,Alberta,21.1804026,1412,0,2527.79
722,Alberta.a,59.5,-111.875,Alberta,234.5110774,0,0,1755.76
723,Alberta.a,59,-111.875,Alberta,179.0630361,0,0,1781.97
724,Alberta.a,58.5,-111.875,Alberta,123.749104,0,0,1406.25
725,Alberta.a,58,-111.875,Alberta,68.8930694,0,0,1833.97
726,Alberta.a,57.5,-111.875,Alberta,17.8183473,0,0,2066.41
727,Alberta.a,57,-111.875,Alberta,4.9084036,72947,0,1675.93
728,Alberta.a,56.5,-111.875,Alberta,23.8520514,0,0,1910.92
729,Alberta.a,56,-111.875,Alberta,6.3544686,0,0,2151.43
73,British Columbia.a,51.5,-131.25,British Columbia,309.2392886,0,2397.42,0
730,Alberta.a,55.5,-111.875,Alberta,23.336513,0,0,2179.44
731,Alberta.a,55,-111.875,Alberta,25.1774342,7884,0,1986.57
732,Alberta.a,54.5,-111.875,Alberta,12.6308519,401,0,1564.48
733,Alberta.a,54,-111.875,Alberta,13.1555439,1174,0,1809.99
734,Alberta.a,53.5,-111.875,Alberta,12.8677233,10691,0,2060.85
735,Alberta.a,53,-111.875,Alberta,15.7450095,4187,0,2316.99
736,Alberta.a,52.5,-111.875,Alberta,11.2350628,6146,0,2343.98
737,Alberta.a,52,-111.875,Alberta,0.9956038,3024,0,2370.79
738,Alberta.a,51.5,-111.875,Alberta,8.4971417,0,0,2397.42
739,Alberta.a,51,-111.875,Alberta,14.5292329,1860,0,2423.87
74,British Columbia.a,59.5,-130.625,British Columbia,202.105731,0,0,1950.85
740,Alberta.a,50.5,-111.875,Alberta,6.6055674,0,0,2450.13
741,Alberta.a,50,-111.875,Alberta,10.6546673,0,0,2476.21
742,Alberta.a,49.5,-111.875,Alberta,7.2436802,2036,0,2251.89
743,Alberta.a,49,-111.875,Alberta,24.4151515,4920,0,2527.79
744,Alberta.a,59.5,-111.25,Alberta,230.3455236,0,0,1950.85
745,Alberta.a,59,-111.25,Alberta,174.7760939,0,0,1979.97
746,Alberta.a,58.5,-111.25,Alberta,119.2327958,198,0,803.57
747,Alberta.a,58,-111.25,Alberta,63.783932,0,0,1833.97
748,Alberta.a,57.5,-111.25,Alberta,10.1229517,0,0,2066.41
749,Alberta.a,57,-111.25,Alberta,5.631844,0,0,2094.91
75,British Columbia.a,59,-130.625,British Columbia,147.8626702,0,0,1781.97
750,Alberta.a,56.5,-111.25,Alberta,5.026229,0,0,2123.25
751,Alberta.a,56,-111.25,Alberta,25.3262719,332,0,1936.29
752,Alberta.a,55.5,-111.25,Alberta,4.7121347,360,0,1961.5
753,Alberta.a,55,-111.25,Alberta,38.9782634,15,0,2207.29
754,Alberta.a,54.5,-111.25,Alberta,29.2893341,0,0,2011.48
755,Alberta.a,54,-111.25,Alberta,4.3315305,20905,0,2036.24
